DPTO,informal,edad,soltero,analfabeta,nivel_educativo,ingreso,vivienda_propia,jefe_hogar,empleado_empresa_particular,empleado_gobierno,empleado_domestico,independiente,empleador,familiar_sin_remuneracion,empresa_sin_remuneracion,jornalero,horas_trabajo,desea_cambiar_trabajo,rural,dinero_ahorrado,tiempo_desempleado,tercera_edad
11,0,31,0,0,12,5900000,0,1,1,0,0,0,0,0,0,0,46,0,0,1,0,0
11,1,26,1,0,5,500000,1,0,0,0,0,1,0,0,0,0,9,0,0,0,2,0
11,0,32,1,0,8,1300000,0,0,1,0,0,0,0,0,0,0,48,0,0,1,2,0
11,1,40,1,0,5,250000,1,0,0,0,0,1,0,0,0,0,20,0,0,0,6,0
11,0,58,0,0,9,1500000,0,0,1,0,0,0,0,0,0,0,48,0,0,0,0,0
11,1,30,0,0,5,1300000,0,0,1,0,0,0,0,0,0,0,45,1,0,0,24,0
11,1,27,0,0,5,850000,0,0,0,0,0,1,0,0,0,0,10,1,0,0,3,0
11,0,44,1,0,9,1300000,1,1,1,0,0,0,0,0,0,0,48,0,0,1,4,0
11,0,26,1,0,9,1300000,1,0,1,0,0,0,0,0,0,0,46,1,0,1,8,0
11,0,39,1,0,5,1400000,1,0,1,0,0,0,0,0,0,0,40,0,0,0,2,0
11,1,32,1,0,5,1200000,0,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0
11,1,60,1,0,3,1100000,0,1,0,0,1,0,0,0,0,0,20,1,0,0,12,1
11,1,33,0,0,9,1600000,0,0,1,0,0,0,0,0,0,0,47,0,0,0,9,0
11,0,34,0,0,10,2500000,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0
11,1,45,0,0,8,350000,1,0,0,0,0,1,0,0,0,0,24,1,0,0,18,0
11,0,23,0,0,8,2500000,0,1,0,0,0,1,0,0,0,0,72,0,0,0,40,0
11,1,55,0,1,1,800000,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0
11,0,40,0,0,8,1600000,0,0,0,0,0,1,0,0,0,0,40,0,0,0,6,0
11,0,56,1,0,3,1300000,0,1,1,0,0,0,0,0,0,0,46,0,0,0,6,0
11,0,57,0,0,11,2500000,1,0,1,0,0,0,0,0,0,0,40,0,0,1,0,0
11,0,32,1,0,12,4000000,1,0,1,0,0,0,0,0,0,0,40,0,0,1,0,0
11,1,69,0,0,4,150000,1,0,0,0,0,1,0,0,0,0,30,0,0,0,12,1
11,1,38,1,0,5,800000,0,1,0,0,0,1,0,0,0,0,50,0,0,0,0,0
11,1,47,1,0,8,70000,1,1,0,0,0,1,0,0,0,0,25,1,0,0,3,0
11,0,29,0,0,8,1650000,0,0,0,0,0,1,0,0,0,0,60,1,0,1,36,0
11,0,42,0,0,10,2000000,0,1,0,0,0,1,0,0,0,0,40,0,0,1,0,0
11,0,37,0,0,9,2000000,1,1,1,0,0,0,0,0,0,0,46,0,0,1,9,0
11,0,54,0,0,8,2800000,1,1,1,0,0,0,0,0,0,0,40,0,0,0,2,0
11,0,54,1,0,3,1400000,1,1,1,0,0,0,0,0,0,0,48,1,0,0,5,0
11,0,41,0,0,8,2250000,0,0,0,1,0,0,0,0,0,0,40,0,0,0,6,0
11,0,41,0,0,11,7400000,0,1,0,0,0,0,1,0,0,0,24,0,0,1,0,0
11,0,55,1,0,5,1300000,1,1,1,0,0,0,0,0,0,0,48,0,0,1,0,0
11,0,41,0,0,11,4200000,1,0,0,1,0,0,0,0,0,0,30,0,0,1,6,0
11,0,31,0,0,10,4700000,1,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0
11,1,51,1,0,3,1900000,0,1,1,0,0,0,0,0,0,0,72,0,0,0,2,0
11,0,25,1,0,10,1600000,1,1,1,0,0,0,0,0,0,0,40,0,0,1,1,0
11,1,40,0,0,5,1300000,0,0,1,0,0,0,0,0,0,0,44,0,0,0,1,0
11,0,53,0,0,5,1300000,0,0,1,0,0,0,0,0,0,0,47,0,0,0,1,0
11,0,24,1,0,10,1300000,0,0,1,0,0,0,0,0,0,0,46,1,0,0,7,0
